22098,Oliver,Charlotte,M,11,WKADSP,,ath7073@stacmail.net,Waka Katea,"GEO101, WOH101, HED101, MAT103, SCI102B, ENG103, WaWhanau"
16085,Noah,Isla,M,13,WACRWL,0SLC2022,ath7073@stacmail.net,SLC,"SNRNUM, HOS301, SLCART, SLCWZ, SLCFDT, SLCICT82A, SLCDVC82B, SLCEnglish, SLCSCI, 9FORM, SLCMUSIC, SLCART, SLCPV, SLCPED, SLCDRAMA, SLCDVC82B, SNRNUM, EMP201, HOS301, WaWhanau"
22075,Jack,Amelia,F,9,WKADSP,9UTA,ath7073@stacmail.net,Waka Katea,"9UTAWW, 9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9UTAWW, 9FLT, WaWhanau, 9ART81A, 9DVC81B, 9MAO81C, 9ICT81D, 9CMT82A, 9FDT82B, 9DRA82C, 9MUS82D"
18011,Leo,Olivia,M,13,TICKGH,,ath7073@stacmail.net,Tau Ihu,"WOH301, STUDYL2MD, STA301, SNRPRF, GEO301, ENG301, WaWhanau"
21040,George,Ava,F,10,TIBKMA,10TEA,ath7073@stacmail.net,Tau Ihu,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10MUS81BM, 10DVC82A, 10ART82MS, WaWhanau"
20030,Charlie,Willow,M,11,WKMSDOOV,,ath7073@stacmail.net,Waka Katea,"OED101, PED101, PRF101, ENG102A, MAT101B, SCI101B, WaWhanau"
20054,Lucas,Lily,F,11,TRDNML,,ath7073@stacmail.net,Tau Rapa,"OED101, PED101, PRF101, MAT103, SCI102B, ENG102B, WaWhanau"
22112,Theodore,Isabella,,10,WATLSI,10TEA,ath7073@stacmail.net,Waka Ama,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10ART82, WaWhanau"
20140,William,Mila,F,12,TICKGH,,ath7073@stacmail.net,Tau Ihu,"STA201, SNRPHO, ART201, BIO201, ENG201, MUS201, WaWhanau"
21002,Luca,Ella,M,10,WACRWL,10RAI,ath7073@stacmail.net,Waka Ama,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10MUS81BM, 10MED82A, 10ART82MS, WaWhanau"
22054,Elijah,Mia,F,9,TRDNML,9IMU,ath7073@stacmail.net,Tau Rapa,"9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9IMUWW, 9FLT, WaWhanau, 9DVC81A, 9MAO81B, 9ICT81C, 9ART81D, 9FDT82A, 9DRA82B, 9MUS82C, 9CMT82D"
21031,Liam,Sophie,F,10,TRHTMC,10TEA,ath7073@stacmail.net,Tau Rapa,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10FDT81, 10DVC82A, 10ART82LY, WaWhanau"
22047,Mason,Hazel,F,9,WALUWZ,9AWA,ath7073@stacmail.net,Tau Ihu,"9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9AWAWW, 9FLT, WaWhanau, 9MAO81A, 9ICT81B, 9ART81C, 9DVC81D, 9DRA82A, 9MUS82B, 9CMT82C, 9FDT82D"
22080,James,Harper,M,9,TISCLY,9NUI,ath7073@stacmail.net,Tau Ihu,"9NUIWW, 9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9NUIWW, FLT, WaWhanau, 9ICT81A, 9ART81B, 9DVC81C, 9MAO81D, 9MUS82A, 9CMT82B, 9FDT82C, 9DRA82D"
21273,Thomas,Emily,M,10,WKJBSN,10OKO,ath7073@stacmail.net,Waka Katea,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10FDT81, 10CMT81, 10MAO82A, 10MAO82B, WaWhanau"
21271,Hudson,Lucy,F,12,WKMSDOOV,,ath7073@stacmail.net,Waka Katea,"SNRMAO, HOS201, PED201, SNROED, SNRENG, HED201, WaWhanau"
22098,Arlo,Chloe,M,11,WKADSP,,ath7073@stacmail.net,Waka Katea,"GEO101, WOH101, HED101, MAT103, SCI102B, ENG103, WaWhanau"
16085,Lachlan,Grace,M,13,WACRWL,0SLC2022,ath7073@stacmail.net,SLC,"SNRNUM, HOS301, SLCART, SLCWZ, SLCFDT, SLCICT82A, SLCDVC82B, SLCEnglish, SLCSCI, 9FORM, SLCMUSIC, SLCART, SLCPV, SLCPED, SLCDRAMA, SLCDVC82B, SNRNUM, EMP201, HOS301, WaWhanau"
22075,Archie,Ruby,F,9,WKADSP,9UTA,ath7073@stacmail.net,Waka Katea,"9UTAWW, 9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9UTAWW, 9FLT, WaWhanau, 9ART81A, 9DVC81B, 9MAO81C, 9ICT81D, 9CMT82A, 9FDT82B, 9DRA82C, 9MUS82D"
18011,Arthur,Matilda,M,13,TICKGH,,ath7073@stacmail.net,Tau Ihu,"WOH301, STUDYL2MD, STA301, SNRPRF, GEO301, ENG301, WaWhanau"
21040,Hunter,Zoe,F,10,TIBKMA,10TEA,ath7073@stacmail.net,Tau Ihu,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10MUS81BM, 10DVC82A, 10ART82MS, WaWhanau"
20030,Oscar,Freya,M,11,WKMSDOOV,,ath7073@stacmail.net,Waka Katea,"OED101, PED101, PRF101, ENG102A, MAT101B, SCI101B, WaWhanau"
20054,Max,Aria,F,11,TRDNML,,ath7073@stacmail.net,Tau Rapa,"OED101, PED101, PRF101, MAT103, SCI102B, ENG102B, WaWhanau"
22112,Levi,Ivy,,10,WATLSI,10TEA,ath7073@stacmail.net,Waka Ama,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10ART82, WaWhanau"
20140,Finn,Sophia,F,12,TICKGH,,ath7073@stacmail.net,Tau Ihu,"STA201, SNRPHO, ART201, BIO201, ENG201, MUS201, WaWhanau"
21002,Hugo,Evelyn,M,10,WACRWL,10RAI,ath7073@stacmail.net,Waka Ama,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10MUS81BM, 10MED82A, 10ART82MS, WaWhanau"
22054,Ethan,Georgia,F,9,TRDNML,9IMU,ath7073@stacmail.net,Tau Rapa,"9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9IMUWW, 9FLT, WaWhanau, 9DVC81A, 9MAO81B, 9ICT81C, 9ART81D, 9FDT82A, 9DRA82B, 9MUS82C, 9CMT82D"
21031,Asher,Olive,F,10,TRHTMC,10TEA,ath7073@stacmail.net,Tau Rapa,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10FDT81, 10DVC82A, 10ART82LY, WaWhanau"
22047,Henry,Riley,F,9,WALUWZ,9AWA,ath7073@stacmail.net,Tau Ihu,"9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9AWAWW, 9FLT, WaWhanau, 9MAO81A, 9ICT81B, 9ART81C, 9DVC81D, 9DRA82A, 9MUS82B, 9CMT82C, 9FDT82D"
22080,Cooper,Luna,M,9,TISCLY,9NUI,ath7073@stacmail.net,Tau Ihu,"9NUIWW, 9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9NUIWW, FLT, WaWhanau, 9ICT81A, 9ART81B, 9DVC81C, 9MAO81D, 9MUS82A, 9CMT82B, 9FDT82C, 9DRA82D"
21273,Carter,Ellie,M,10,WKJBSN,10OKO,ath7073@stacmail.net,Waka Katea,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10FDT81, 10CMT81, 10MAO82A, 10MAO82B, WaWhanau"
21271,Ezra,Florence,F,12,WKMSDOOV,,ath7073@stacmail.net,Waka Katea,"SNRMAO, HOS201, PED201, SNROED, SNRENG, HED201, WaWhanau"
22098,Lincoln,Millie,M,11,WKADSP,,ath7073@stacmail.net,Waka Katea,"GEO101, WOH101, HED101, MAT103, SCI102B, ENG103, WaWhanau"
16085,Felix,Maia,M,13,WACRWL,0SLC2022,ath7073@stacmail.net,SLC,"SNRNUM, HOS301, SLCART, SLCWZ, SLCFDT, SLCICT82A, SLCDVC82B, SLCEnglish, SLCSCI, 9FORM, SLCMUSIC, SLCART, SLCPV, SLCPED, SLCDRAMA, SLCDVC82B, SNRNUM, EMP201, HOS301, WaWhanau"
22075,Alexander,Sienna,F,9,WKADSP,9UTA,ath7073@stacmail.net,Waka Katea,"9UTAWW, 9ENG, 9MAT, 9SCI, 9SOS, 9PED, 9HED, 9UTAWW, 9FLT, WaWhanau, 9ART81A, 9DVC81B, 9MAO81C, 9ICT81D, 9CMT82A, 9FDT82B, 9DRA82C, 9MUS82D"
18011,Archer,Evie,M,13,TICKGH,,ath7073@stacmail.net,Tau Ihu,"WOH301, STUDYL2MD, STA301, SNRPRF, GEO301, ENG301, WaWhanau"
21040,Beau,Frankie,F,10,TIBKMA,10TEA,ath7073@stacmail.net,Tau Ihu,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10MUS81BM, 10DVC82A, 10ART82MS, WaWhanau"
20030,Harrison,Layla,M,11,WKMSDOOV,,ath7073@stacmail.net,Waka Katea,"OED101, PED101, PRF101, ENG102A, MAT101B, SCI101B, WaWhanau"
20054,Eli,Ayla,F,11,TRDNML,,ath7073@stacmail.net,Tau Rapa,"OED101, PED101, PRF101, MAT103, SCI102B, ENG102B, WaWhanau"
22112,Jackson,Isabelle,,10,WATLSI,10TEA,ath7073@stacmail.net,Waka Ama,"10ENG, 10MAT, 10SCI, 10SOS, 10PED, 10HED, 10FLT, 10MUS81M, 10ART82, WaWhanau"
20140,Louis,Poppy,F,12,TICKGH,,ath7073@stacmail.net,Tau Ihu,"STA201, SNRPHO, ART201, BIO201, ENG201, MUS201, WaWhanau"
